Task,Timeline,Tentative/Estimated Completion
Notice to proceed/PO,Week 00,11-Apr-2025
Project Commencement,Week 01,14-Apr-2025
First Site Visit,Week 01,16-Apr-2025
Pending Inputs RFI,Week 04,06-May-2025
Draft RFB Package,Week 16,05-Aug-2025
HONI Review of Draft RFB Package,Week 19,26-Aug-2025
Final RFB Package,Week 23,23-Sep-2025
Receipt of vendor drawings,Week 23,23-Sep-2025
RFC Package,Week 27,21-Oct-2025
Bid Support Evaluation for PC contractor,Week 23-Week 65,14-July-2026
"Construction Support, As Built",Week 66-Week 182,TBD
